Date,M,Day,Humidity1,Humidity2,Max_Temp,Min_Temp,Year,Month
2024-01-01,JAN,1,82,53,30.2,14.4,2024,1
2024-01-02,JAN,2,82,60,30,14.2,2024,1
2024-01-03,JAN,3,82,60,30.2,14.5,2024,1
2024-01-04,JAN,4,82,72,30.2,14.4,2024,1
2024-01-05,JAN,5,82,60,29.6,14.8,2024,1
2024-01-06,JAN,6,91,66,29.5,14.2,2024,1
2024-01-07,JAN,7,81,59,29.7,14.2,2024,1
2024-01-08,JAN,8,81,63,28.5,13.8,2024,1
2024-01-09,JAN,9,85,59,28.5,13,2024,1
2024-01-10,JAN,10,80,55,28.7,12.4,2024,1
2024-01-11,JAN,11,80,59,27.6,12.1,2024,1
2024-01-12,JAN,12,81,51,29.2,12.5,2024,1
2024-01-13,JAN,13,80,59,29.3,12.2,2024,1
2024-01-14,JAN,14,81,60,29.5,13.2,2024,1
2024-01-15,JAN,15,81,57,31,13.6,2024,1
2024-01-16,JAN,16,82,61,32.2,15,2024,1
2024-01-17,JAN,17,73,54,30.5,15.7,2024,1
2024-01-18,JAN,18,82,60,30.3,14.7,2024,1
2024-01-19,JAN,19,82,61,30,15.6,2024,1
2024-01-20,JAN,20,82,60,29,14.5,2024,1
2024-01-21,JAN,21,76,60,29.4,14.3,2024,1
2024-01-22,JAN,22,72,53,29.5,15.3,2024,1
2024-01-23,JAN,23,81,60,29.5,14.1,2024,1
2024-01-24,JAN,24,77,53,29.5,13.6,2024,1
2024-01-25,JAN,25,65,73,25.6,19.5,2024,1
2024-01-26,JAN,26,82,54,29.7,16.8,2024,1
2024-01-27,JAN,27,82,61,28.7,15.6,2024,1
2024-01-28,JAN,28,82,61,29.7,15.7,2024,1
2024-01-29,JAN,29,82,61,30,15.5,2024,1
2024-01-30,JAN,30,82,54,30.6,14.6,2024,1
2024-01-31,JAN,31,82,61,30.5,15.6,2024,1
2024-02-01,FEB,1,65,54,30.7,16.6,2024,2
2024-02-02,FEB,2,65,56,32,15.8,2024,2
2024-02-03,FEB,3,65,54,31.5,16.6,2024,2
2024-02-04,FEB,4,73,54,30.7,15.2,2024,2
2024-02-05,FEB,5,73,54,31,14.5,2024,2
2024-02-06,FEB,6,65,56,33.5,16.2,2024,2
2024-02-07,FEB,7,58,57,33.2,18.8,2024,2
2024-02-08,FEB,8,73,57,32.3,17.6,2024,2
2024-02-09,FEB,9,73,44,31.8,16.2,2024,2
2024-02-10,FEB,10,73,53,32,14.6,2024,2
2024-02-11,FEB,11,65,57,33.4,14.9,2024,2
2024-02-12,FEB,12,73,57,33,16.4,2024,2
2024-02-13,FEB,13,65,42,32.6,16.5,2024,2
2024-02-14,FEB,14,57,45,33.2,15.3,2024,2
2024-02-15,FEB,15,65,41,33.7,16.1,2024,2
2024-02-16,FEB,16,58,42,35.2,17.1,2024,2
2024-02-17,FEB,17,65,46,33.2,18,2024,2
2024-02-18,FEB,18,50,45,35,15.9,2024,2
2024-02-19,FEB,19,57,41,34.5,16.7,2024,2
2024-02-20,FEB,20,51,46,34.4,17.4,2024,2
2024-02-21,FEB,21,52,43,36.2,19.2,2024,2
2024-02-22,FEB,22,47,43,36.8,20,2024,2
2024-02-23,FEB,23,48,39,37.3,21,2024,2
2024-02-24,FEB,24,66,49,33,19.3,2024,2
2024-02-25,FEB,25,59,47,34.9,18.4,2024,2
2024-02-26,FEB,26,59,47,34,19,2024,2
2024-02-27,FEB,27,60,43,36.3,18.6,2024,2
2024-02-28,FEB,28,60,46,36.2,19.2,2024,2
2024-02-29,FEB,29,60,45,35.6,19,2024,2
